for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
387,559,VALENCIA ST,3569 041 01,63,0,56,0,7,0,63,Yes,Yes
388,663,VALENCIA ST,3576 113 01,40,0,18,0,22,0,40,Yes,Yes
389,868,VALENCIA ST,3597 009 01,24,0,24,0,0,0,24,Yes,Yes
390,1041,VALENCIA ST,3616 022 01,12,0,11,0,1,0,12,Yes,Yes
391,702,VALLEJO ST,0130 010 01,38,0,39,0,0,0,39,Yes,No
392,705,VALLEJO ST,0147 001 01,40,3,40,2,0,1,43,Yes,No
393,790,VALLEJO ST,0130 022 01,27,0,18,0,9,0,27,Yes,Yes
394,1334,VAN NESS AV,0670 014 01,41,3,41,3,2,0,46,Yes,Yes
395,1405,VAN NESS AV,0666 005 01,41,0,41,0,0,0,41,Yes,Yes
396,2420,VAN NESS AV,0547 009 01,18,0,17,0,1,0,18,Yes,Yes
397,16,VIRGINIA AV,5642 050 01,14,0,15,0,0,0,15,Yes,No
398,735,WASHINGTON ST,0209 011 01,20,0,0,0,0,0,20,Yes,Yes
399,858,WASHINGTON ST,0193 017 01,140,0,114,0,0,0,114,Yes,No
400,874,WASHINGTON ST,0193 018 01,115,0,115,0,0,0,115,Yes,Yes
401,29,WAVERLY PL,0225 025 01,13,0,12,0,1,0,13,Yes,Yes
402,41,WAVERLY PL,0225 023 01,20,0,NA,NA,NA,NA,NA,Yes,No
403,124,WAVERLY PL,0210 038 01,26,0,25,0,1,0,26,Yes,Yes
404,24,WENTWORTH ST,0194 023 01,21,0,20,0,1,0,21,Yes,Yes
