for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
138,376,ELLIS ST,0324 010 01,8,0,NA,NA,NA,NA,NA,No,No
139,424,ELLIS ST,0323 007 01,19,0,19,0,0,0,19,Yes,Yes
140,433,ELLIS ST,0333 021 01,32,28,31,11,1,17,60,Yes,Yes
141,465,ELLIS ST,0333 018 01,50,6,49,0,1,6,56,Yes,Yes
142,710,ELLIS ST,0717 004 01,14,2,14,0,0,2,16,Yes,Yes
143,719,ELLIS ST,0740 001 01,5,9,5,8,0,1,14,Yes,Yes
144,725,ELLIS ST,0740 025 01,11,0,11,0,0,0,11,Yes,Yes
145,2,EMERY LN,0130 012 01,28,0,NA,NA,NA,NA,NA,No,No
146,171,FELL ST,0834 013 01,11,27,12,7,0,19,38,Yes,Yes
147,106,FERN ST,0670 004 01,13,0,13,0,0,0,13,Yes,Yes
148,3143,FILLMORE ST,0515 005 01,12,0,12,0,0,0,12,Yes,Yes
149,917,FOLSOM ST,3753 145 01,57,0,35,0,22,0,57,Yes,Yes
150,1040,FOLSOM ST,3731 019 01,38,10,NA,NA,NA,NA,NA,Yes,No
151,75,FRESNO ST,0145 016 01,19,0,19,0,0,0,19,Yes,Yes
152,4330,GEARY BL,1439 020 01,12,0,12,0,0,0,12,Yes,No
153,432,GEARY ST,0306 006 01,61,8,39,6,22,2,69,Yes,Yes
154,520,GEARY ST,0305 007 01,38,0,38,0,0,0,38,Yes,Yes
155,610,GEARY ST,0304 005 01,12,103,1,87,11,16,115,Yes,No
156,630,GEARY ST,0304 006 01,54,0,54,0,0,0,54,Yes,Yes
157,676,GEARY ST,0304 009,8,0,NA,NA,NA,NA,NA,No,No
158,725,GEARY ST,0319 026 01,15,7,NA,NA,NA,NA,NA,Yes,No
159,765,GEARY ST,0319 023 01,8,0,8,0,0,0,8,Yes,Yes
160,910,GEARY ST,0693 006 01,61,0,NA,NA,NA,NA,NA,Yes,No
161,925,GEARY ST,0716 001A 01,9,0,9,0,0,0,9,Yes,Yes
162,935,GEARY ST,0716 011 01,114,0,114,0,2,0,116,Yes,Yes
163,248,GOLDEN GATE AV,0345 006 01,14,0,13,0,1,0,14,Yes,Yes
164,284,GOLDEN GATE AV,0345 008 01,23,0,20,0,3,0,23,Yes,No
165,378,GOLDEN GATE AV,0346 006 01,11,0,10,0,1,0,11,Yes,Yes
166,828,GRANT,0209 004 01,40,0,40,0,0,0,40,Yes,Yes
167,523,GRANT AV,0257 003 01,10,0,10,0,0,0,10,Yes,Yes
168,654,GRANT AV,0241 015 01,20,0,20,0,0,0,20,Yes,Yes
169,710,GRANT AV,0226 018 01,44,0,44,0,0,0,44,Yes,Yes
170,861,GRANT AV,0210 001 01,8,0,0,0,8,0,8,Yes,Yes
171,917,GRANT AV,0193 009 01,14,0,14,0,0,0,14,Yes,Yes
172,924,GRANT AV,0194 014 01,20,0,19,0,1,0,20,Yes,No
173,933,GRANT AV,0193 007 01,33,0,45,0,1,0,45,Yes,No
