for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_occupied_residential,reported_occupied_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,average_rent_dollars,aaur_filing_received,aaur_sufficient
1,479,03RD ST,3763 022 00,19,0,16,1,1,1,19,525,TRUE,FALSE
2,2342,03RD ST,4108 003A 01,18,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
3,3900,03RD ST,5242 021 01,19,0,19,0,0,0,19,1067,TRUE,TRUE
4,4544,03RD ST,5296 031,17,0,0,0,17,0,17,0,TRUE,TRUE
5,54,04TH ST,3705 004 01,81,87,13,46,68,41,168,875.98,TRUE,TRUE
6,44,05TH ST,3704 003 01,70,0,52,0,18,0,70,750,TRUE,TRUE
7,20,06TH ST,3703 002 01,43,15,NA,NA,NA,NA,NA,NA,TRUE,FALSE
8,37,06TH ST,3704 053 01,10,6,5,4,5,2,16,500,TRUE,FALSE
9,41,06TH ST,3704 052 01,14,0,13,0,1,0,14,NA,TRUE,FALSE
10,42,06TH ST,3703 005 01,21,7,19,5,2,2,28,950,TRUE,TRUE
11,45,06TH ST,3704 051 01,15,0,9,0,6,0,15,700,TRUE,TRUE
12,48,06TH ST,3703 006 01,41,0,41,0,0,0,44,675,TRUE,TRUE
13,68,06TH ST,3703 027 01,29,0,29,0,10,0,29,623.79,TRUE,TRUE
14,93,06TH ST,3704 025 01,29,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
15,102,06TH ST,3726 001 01,14,0,13,0,1,0,14,500,TRUE,TRUE
16,106,06TH ST,3726 002 01,100,21,NA,NA,NA,NA,NA,NA,FALSE,FALSE
17,135,06TH ST,3725 064 01,21,30,22,6,0,23,51,900,TRUE,TRUE
18,136,06TH ST,3726 005 01,12,0,1,0,9,0,10,983.33,TRUE,TRUE
19,149,06TH ST,3725 063 01,51,0,0,0,0,0,0,0,TRUE,TRUE
20,152,06TH ST,3726 008 01,15,0,14,0,1,0,15,500,TRUE,TRUE
21,170,06TH ST,3726 009 01,25,0,23,0,2,0,25,692,TRUE,TRUE
22,219,06TH ST,3732 123 01,19,0,19,0,0,0,19,1450,TRUE,FALSE
